id,name,networth,country,source,rank,age,citizenship,status,children,self_made,degree,university,longitude,latitude
0,Jeff Bezos,177.0,United States,Amazon,1,57,United States,In Relationship,4,True,Bachelor of Arts/Science, Princeton University,-122.3300624,47.6038321
1,Elon Musk,151.0,United States,"Tesla, SpaceX",2,49,United States,In Relationship,7,True,Bachelor of Arts/Science, University of Pennsylvania,-97.74369950000001,30.2711286
2,Bernard Arnault & family,150.0,France,LVMH,3,72,France,Married,5,False,Bachelor of Arts/Science, Ecole Polytechnique de Paris,2.3514616,48.8566969
3,Bill Gates,124.0,United States,Microsoft,4,65,United States,Divorced,3,True,Drop Out, Harvard University,-122.2264453,47.620548
4,Mark Zuckerberg,97.0,United States,Facebook,5,36,United States,Married,2,True,Drop Out, Harvard University,-122.1598465,37.4443293
5,Warren Buffett,96.0,United States,Berkshire Hathaway,6,90,United States,"Widowed, Remarried",3,True,Master of Science," Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",-95.9383758,41.2587459
6,Larry Ellison,93.0,United States,software,7,76,United States,In Relationship,4,True,Drop Out," University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",-156.9029493,20.8305441
7,Larry Page,91.5,United States,Google,8,48,United States,Married,1,True,Master of Science," Stanford University; Bachelor of Arts/Science, University of Michigan",-122.1598465,37.4443293
8,Sergey Brin,89.0,United States,Google,9,47,United States,Married,3,True,Master of Science," Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",-122.116578,37.3790629
9,Mukesh Ambani,84.5,India,diversified,10,64,India,Married,3,False,Drop Out," Stanford University; Bachelor of Science in Engineering, University of Mumbai",72.8773928,19.0759899
13,Steve Ballmer,68.7,United States,Microsoft,14,65,United States,Married,3,True,Bachelor of Arts/Science," Harvard University; Drop Out, Stanford University",-122.230124,47.6434321
15,Carlos Slim Helu & family,62.8,Mexico,telecom,16,81,Mexico,Widowed,6,True,Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico,-99.1331785,19.4326296
17,Jim Walton,60.2,United States,Walmart,18,72,United States,Married,4,False,Bachelor of Arts/Science, University of Arkansas,-94.2088172,36.3728538
18,Rob Walton,59.5,United States,Walmart,19,76,United States,Married,3,False,Doctor of Jurisprudence," Columbia University; Bachelor of Arts/Science, University of Arkansas",-94.2088172,36.3728538
19,Michael Bloomberg,59.0,United States,Bloomberg LP,20,79,United States,In Relationship,2,True,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",-74.00601519999999,40.7127281
21,MacKenzie Scott,53.0,United States,Amazon,22,51,United States,Married,4,False,Bachelor of Arts/Science, Princeton University,-122.3300624,47.6038321
22,Daniel Gilbert,51.9,United States,Quicken Loans,23,59,United States,Married,5,True,Bachelor of Arts/Science," Michigan State University; LLB, Wayne State University",-83.3060432,42.5222567
24,Phil Knight & family,49.9,United States,Nike,25,83,United States,Married,3,True,Master of Business Administration," Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",-122.989827,45.5228939
26,Charles Koch,46.4,United States,Koch Industries,27,85,United States,Married,2,False,Bachelor of Arts/Science," Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",-97.3375448,37.6922361
