name,networth,country,source,rank,age,residence,citizenship,status,children,education,self_made,degree,university,longitude,latitude,combined
Jeff Bezos,177.0,United States,Amazon,1,57.0,"Seattle, Washington",United States,In Relationship,4.0,"Bachelor of Arts/Science, Princeton University",True,Bachelor of Arts/Science, Princeton University,-122.3300624,47.6038321,jeff-bezos
Elon Musk,151.0,United States,"Tesla, SpaceX",2,49.0,"Austin, Texas",United States,In Relationship,7.0,"Bachelor of Arts/Science, University of Pennsylvania",True,Bachelor of Arts/Science, University of Pennsylvania,-97.74369950000001,30.2711286,elon-musk
Bernard Arnault & family,150.0,France,LVMH,3,72.0,"Paris, France",France,Married,5.0,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",False,Bachelor of Arts/Science, Ecole Polytechnique de Paris,2.3514616,48.8566969,bernard-arnault
Bill Gates,124.0,United States,Microsoft,4,65.0,"Medina, Washington",United States,Divorced,3.0,"Drop Out, Harvard University",True,Drop Out, Harvard University,-122.2264453,47.620548,bill-gates
Mark Zuckerberg,97.0,United States,Facebook,5,36.0,"Palo Alto, California",United States,Married,2.0,"Drop Out, Harvard University",True,Drop Out, Harvard University,-122.1598465,37.4443293,mark-zuckerberg
Warren Buffett,96.0,United States,Berkshire Hathaway,6,90.0,"Omaha, Nebraska",United States,"Widowed, Remarried",3.0,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",True,Master of Science," Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",-95.9383758,41.2587459,warren-buffett
Larry Ellison,93.0,United States,software,7,76.0,"Lanai, Hawaii",United States,In Relationship,4.0,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",True,Drop Out," University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",-156.9029493,20.8305441,larry-ellison
Larry Page,91.5,United States,Google,8,48.0,"Palo Alto, California",United States,Married,1.0,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",True,Master of Science," Stanford University; Bachelor of Arts/Science, University of Michigan",-122.1598465,37.4443293,larry-page
Sergey Brin,89.0,United States,Google,9,47.0,"Los Altos, California",United States,Married,3.0,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",True,Master of Science," Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",-122.116578,37.3790629,sergey-brin
Mukesh Ambani,84.5,India,diversified,10,64.0,"Mumbai, India",India,Married,3.0,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",False,Drop Out," Stanford University; Bachelor of Science in Engineering, University of Mumbai",72.8773928,19.0759899,mukesh-ambani
